term,sourceLabel,label,definition,sourceURL,sourceFile
67PCG_CSO,TREPS_frames,"Comet solar orbital  centered on comet churyumov gerasimenko","Comet frames are defined as a two-vector style dynamic frames as follows:
 
      -  The position of the sun relative to the comet is the primary
         vector: the X axis points from the comet to the sun.

      -  The inertially referenced velocity of the sun relative to the
         comet is the secondary vector: the Y axis is the component of
         this velocity vector orthogonal to the X axis.

      -  The Z axis is X cross Y, completing the right-handed reference
         frame.

      -  All vectors are geometric: no aberration corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
67PCG_EME,TREPS_frames,"J2000 centered on comet Churyumov Gerasimenko","Earth mean equator, dynamical equinox of J2000 centered on comet Churyumov Gerasimenko.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
AACGM,Laundal_and_Richmond,"Altitude-Adjusted Corrected Geomagnetic Coordinates (Sect. 4.2)","","https://doi.org/10.1007/s11214-016-0275-y","papers/Laundal_and_Richmond-2016.csv"
AZ_EL,IVOA_STCT,"Local azimuth and elevation","Ground-based observatories
Azimuth: from north through east","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
AZ_EL,IVOA_refframe,"1","Azimuth/elevation","https://github.com/ivoa-std/Vocabularies/blob/master/refframe/terms.csv","documents/IVOA_refframe-2022-02-22-terms.csv"
B1950,SPICE_Built_In_Inertial,"Earth Mean Equator and Equinox of B1950","The B1950 reference frame is obtained by precessing the J2000 frame backwards from Julian year 2000 to Besselian year 1950, using the 1976 IAU precession model.

            The rotation from B1950 to J2000 is

            [ -z ]  [ theta ]  [ -zeta ]
                    3          2          3
            The values for z, theta, and zeta are computed
            from the formulas given in table 5 of [5].

            z     =  1153.04066200330""
            theta =  1002.26108439117""
            zeta  =  1152.84248596724""","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
BODY,IVOA_STCT,"Generic "BODY" coordinates","","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
BODY,IVOA_refframe,"1","Body Coordinates","https://github.com/ivoa-std/Vocabularies/blob/master/refframe/terms.csv","documents/IVOA_refframe-2022-02-22-terms.csv"
BarycentricMeanEcliptic,AstroPy,"Barycentric Mean Ecliptic"," "Barycentric mean ecliptic coordinates. These origin of the coordinates are the barycenter of the solar system","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
BarycentricTrueEcliptic,AstroPy,"Barycentric True Ecliptic"," Barycentric true ecliptic coordinates. These origin of the coordinates are the barycenter of the solar system","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
CD,Laundal_and_Richmond,"Centered Dipole (Sect. 3.1)","","https://doi.org/10.1007/s11214-016-0275-y","papers/Laundal_and_Richmond-2016.csv"
CGM,Laundal_and_Richmond,"Corrected Geomagnetic Coordinates (Sect. 4.2)","","https://doi.org/10.1007/s11214-016-0275-y","papers/Laundal_and_Richmond-2016.csv"
CGM,SPASE,"Corrected Geomagnetic","Corrected Geomagnetic - A coordinate system from a spatial point with GEO radial distance and geomagnetic latitude and longitude, follow the epoch-appropriate IGRF/DGRF model field vector through to the point where the field line crosses the geomagnetic dipole equatorial plane. Then trace the dipole magnetic field vector Earthward from that point on the equatorial plane, in the same hemisphere as the original point, until the initial radial distance is reached. Designate the dipole latitude and longitude at that point as the CGM latitude and longitude of the original point.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
CIRS,AstroPy,"Celestial Intermediate Reference System","A coordinate or frame in the Celestial Intermediate Reference System (CIRS).","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
CPHIO,TREPS_frames,"Callisto Phi-Omega","In those Cartesian coordinate system (referred to as MphiO - M is Moon prefix -),
X is along the flow direction, Y is along the Moon-Jupiter vector, and Z is along the spin axis.
These coordinates are analogous to the earth-centered GSE coordinates that relate to the direction of
flow of the solar wind onto Earth's environment","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
CSO,SPASE,"Corrected Solar Orbital","Corrected Solar Orbital - A coordinate system related to Earth where X is anti-sunward, Y along the orbital velocity direction.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
Carrington,SPASE,"Carrington","A coordinate system which is centered at the Sun and is "fixed" with respect to the synodic rotation rate; the mean synodic value is about 27.2753 days. The Astronomical Almanac gives a value for Carrington longitude of 349.03 degrees at 0000 UT on 1 January 1995.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
DE-102,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (102)","None","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-108,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (108)","None","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-111,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (111)","None","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-114,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (114)","None","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-118,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (118)","The DE-118 reference frame is nearly identical to the FK4 frame. It is also derived from the B1950 frame. Only the offset is different

            [ 0.53155"" ]
                    3

            In [2], Standish uses two separate rotations,

            [ 0.00073"" ]  P [ 0.5316"" ]
                    3              3

            (where P is the precession matrix used above to
            define the B1950 frame). The major effect of the
            second rotation is to correct for truncating the
            magnitude of the first rotation. At his
            suggestion, we will use the untruncated value,
            and stick to a single rotation.


            Most of the other DE historical reference frames
            are defined relative to either the DE-118 or
            B1950 frame. The values below are taken
            from [4].

            DE number  Offset from DE-118  Offset from B1950
            ---------  ------------------  -----------------
                    96            +0.1209""           +0.4107""
            102            +0.3956""           +0.1359""
            108            +0.0541""           +0.4775""
            111            -0.0564""           +0.5880""
            114            -0.0213""           +0.5529""
            122            +0.0000""           +0.5316""
            125            -0.0438""           +0.5754""
            130            +0.0069""           +0.5247""","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-122,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (122)","None","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
